Slide_Number	Crypt_ID	Subject_ID	Side
1	1	L7	Right
2	2	H5	Right
3	3	L7	Right
4	4	H10	Right
5	5	L2	Right
6	6	L2	Left
7	7	H8	Left
8	8	H6	Left
9	9	H10	Right
10	10	H10	Left
11	11	H9	Right
12	12	H7	Right
13	13	H2	Right
14	14	L2	Left
15	15	L7	Left
16	16	H5	Right
17	17	F1	Left
18	18	F2	Left
19	19	H5	Right
20	20	H3	Right
21	21	F2	Right
22	22	H9	Right
23	23	L1	Right
24	24	H5	Left
25	25	H1	Right
26	26	L7	Left
27	27	H8	Right
28	28	F2	Right
29	29	H7	Left
30	30	H1	Left
31	31	H6	Left
32	32	F4	Left
33	33	H6	Right
34	34	H10	Right
35	35	F4	Left
36	36	H5	Right
37	37	H5	Left
38	38	H1	Right
39	39	L7	Left
40	40	H10	Right
41	41	H5	Right
42	42	H3	Left
43	43	H10	Left
44	44	H2	Left
45	45	L4	Right
46	46	H2	Right
47	47	H5	Left
48	48	H2	Left
49	49	H2	Left
50	50	F4	Left
51	51	H10	Left
52	52	L7	Left
53	53	H6	Right
54	54	H2	Right
55	55	F3	Left
56	56	H2	Right
57	57	H1	Left
58	58	H2	Right
59	59	H3	Right
60	60	H7	Right
61	61	H8	Left
62	62	L7	Right
63	63	H8	Left
64	64	H10	Right
65	65	L2	Left
66	66	L5	Right
67	67	L7	Right
68	68	H10	Right
69	69	L5	Left
70	70	H1	Left
71	71	H1	Right
72	72	H6	Right
73	73	F4	Left
74	74	H8	Right
75	75	L5	Left
76	76	F4	Left
77	77	F4	Left
78	78	L2	Right
79	79	F3	Left
80	80	L3	Left
81	81	L5	Left
82	82	H10	Left
83	83	L7	Right
84	84	H8	Left
85	85	F3	Right
86	86	L5	Left
87	87	F4	Left
88	88	H5	Right
89	89	L7	Left
90	90	H1	Right
91	91	H4	Right
92	92	L1	Left
93	93	H9	Right
94	94	L3	Right
95	95	F2	Left
96	96	H6	Left
97	97	L6	Right
98	98	H8	Right
99	99	H4	Right
100	100	L7	Left
101	101	H9	Right
102	102	H6	Left
103	103	H8	Left
104	104	L6	Left
105	105	H5	Left
106	106	H1	Left
107	107	H6	Left
108	108	H2	Right
109	109	H9	Right
110	110	L3	Right
111	111	H8	Right
112	112	L7	Left
113	113	F1	Left
114	114	L7	Right
115	115	H6	Right
116	116	H3	Left
117	117	F3	Right
118	118	L7	Right
119	119	H7	Right
120	120	H8	Left
121	121	L5	Right
122	122	L5	Right
123	123	F2	Left